,ts,value
0,1675852888,0.005042925551354758
1,1675852889,0.005212389249457397
2,1675852890,0.005381852947560037
3,1675852891,0.005551316645662677
4,1675852892,0.005720780343765316
5,1675852893,0.005890244041867956
6,1675852894,0.027857169602129386
7,1675852895,0.028822713131580722
8,1675852896,0.02978825666103206
9,1675852897,0.030753800190483405
10,1675852898,0.03171934371993474
11,1675852899,0.032684887249386084
12,1675852900,0.03365043077883743
13,1675852901,0.03461597430828877
14,1675852902,0.035581517837740106
15,1675852903,0.03654706136719144
16,1675852904,0.037512604896642786
17,1675852905,0.03847814842609413
18,1675852906,0.03944369195554547
19,1675852907,0.040409235484996815
20,1675852908,0.03331152500000001
21,1675852909,0.03331152500000001
22,1675852910,0.03331152500000001
23,1675852911,0.03331152500000001
24,1675852912,0.07981453790696462
25,1675852913,0.08154202111986744
26,1675852914,0.08326950433277026
27,1675852915,0.08499698754567304
28,1675852916,0.08672447075857587
29,1675852917,0.08845195397147869
30,1675852918,0.09017943718438148
31,1675852919,0.0919069203972843
32,1675852920,0.09363440361018711
33,1675852921,0.0953618868230899
34,1675852922,0.09708937003599273
35,1675852923,0.09881685324889554
36,1675852924,0.10054433646179835
37,1675852925,0.10227181967470116
38,1675852926,0.1036489927741686
39,1675852927,0.11533329881089614
40,1675852928,0.11767705817919988
41,1675852929,0.1200208175475036
42,1675852930,0.16104111133014423
43,1675852931,0.16353515947069922
44,1675852932,0.17746804626803234
45,1675852933,0.18196405690668613
46,1675852934,0.18646006754533986
47,1675852935,0.19095607818399365
48,1675852936,0.1954520888226474
49,1675852937,0.19994809946130118
50,1675852938,0.2035055574516215
51,1675852939,0.20599960559217653
52,1675852940,0.21438891884661596
53,1675852941,0.21747071935584575
54,1675852942,0.23411309989328088
55,1675852943,0.2375567205580215
56,1675852944,0.24100034122276207
57,1675852945,0.24444396188750264
58,1675852946,0.23004882376421162
59,1675852947,0.23302495257977388
60,1675852948,0.23600108139533615
61,1675852949,0.23897721021089843
62,1675852950,0.2314102298257242
63,1675852951,0.2343863586412865
64,1675852952,0.23736248745684882
65,1675852953,0.24033861627241104
66,1675852954,0.22724104447267193
67,1675852955,0.23103191388664213
68,1675852956,0.23482278330061232
69,1675852957,0.23022370467714068
70,1675852958,0.23306500156692525
71,1675852959,0.23590629845670985
72,1675852960,0.23874759534649445
73,1675852961,0.241588892236279
74,1675852962,0.21978139058852797
75,1675852963,0.23779638359841596
76,1675852964,0.23959991198778452
77,1675852965,0.2403652453740789
78,1675852966,0.23659470502003066
79,1675852967,0.23748733248097
80,1675852968,0.23837995994190941
81,1675852969,0.22313784288638774
82,1675852970,0.2248404989278562
83,1675852971,0.18090960429525402
84,1675852972,0.17272993162035424
85,1675852973,0.20419761550436033
86,1675852974,0.20679593544175034
87,1675852975,0.2093942553791404
88,1675852976,0.21199257531653046
89,1675852977,0.21459089525392047
90,1675852978,0.2131916325798817
91,1675852979,0.20685466419929166
92,1675852980,0.20844293807776415
93,1675852981,0.2166441580495343
94,1675852982,0.21912378491651371
95,1675852983,0.2152450924406301
96,1675852984,0.21689145258820974
97,1675852985,0.21140963485725486
98,1675852986,0.21091277546323597
99,1675852987,0.2264225563783465
100,1675852988,0.22638490560277955
101,1675852989,0.22554826388956362
102,1675852990,0.21654488730702903
103,1675852991,0.2182279828015242
104,1675852992,0.1960853861038897
105,1675852993,0.19776848159838487
106,1675852994,0.19945157709287997
107,1675852995,0.20788052627528933
108,1675852996,0.20969672859077726
109,1675852997,0.2115129309062652
110,1675852998,0.21332913322175315
111,1675852999,0.21623607177138093
112,1675853000,0.21805227408686886
113,1675853001,0.21986847640235677
114,1675853002,0.19908954603543827
115,1675853003,0.20210816490080785
116,1675853004,0.20426112842799013
117,1675853005,0.181899555606172
118,1675853006,0.19407316222544121
119,1675853007,0.19339745314309656
120,1675853008,0.19272174406075196
