response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1783,0.0006,0.0000,0.0009,0.1765,0.0003,200,1.0162
0.1798,0.0002,0.0000,0.0008,0.1785,0.0001,200,1.0164
0.3539,0.0008,0.0000,0.0002,0.3526,0.0002,200,1.0168
0.3548,0.0001,0.0000,0.0007,0.3537,0.0001,200,1.0166
0.5286,0.0005,0.0000,0.0002,0.5277,0.0001,200,1.0169
0.5293,0.0003,0.0000,0.0003,0.5285,0.0001,200,1.0170
0.7046,0.0016,0.0000,0.0001,0.7023,0.0004,200,1.0161
0.8779,0.0003,0.0000,0.0000,0.8773,0.0002,200,1.0177
0.1776,0.0020,0.0000,0.0000,0.1753,0.0002,200,2.0158
0.1779,0.0017,0.0000,0.0000,0.1755,0.0006,200,2.0160
0.3526,0.0013,0.0000,0.0001,0.3510,0.0003,200,2.0159
0.3537,0.0002,0.0000,0.0000,0.3516,0.0005,200,2.0161
0.5278,0.0001,0.0000,0.0000,0.5274,0.0002,200,2.0176
0.7040,0.0003,0.0000,0.0000,0.7034,0.0002,200,2.0175
0.8797,0.0001,0.0000,0.0000,0.8794,0.0002,200,2.0177
1.0579,0.0005,0.0000,0.0000,1.0573,0.0001,200,2.0178
0.1782,0.0006,0.0000,0.0002,0.1772,0.0002,200,3.0326
0.2214,0.0006,0.0000,0.0001,0.2206,0.0001,200,3.0318
0.3574,0.0010,0.0000,0.0000,0.3562,0.0002,200,3.0325
0.3965,0.0010,0.0000,0.0001,0.3952,0.0001,200,3.0324
0.5333,0.0006,0.0000,0.0002,0.5324,0.0001,200,3.0327
0.7617,0.0008,0.0000,0.0001,0.7608,0.0001,200,3.0326
1.1883,0.0005,0.0000,0.0001,1.1874,0.0002,200,3.0327
0.1783,0.0012,0.0000,0.0000,0.1769,0.0002,200,4.2054
1.3247,0.0007,0.0000,0.0001,1.3237,0.0002,200,3.0757
0.3396,0.0035,0.0000,0.0001,0.3358,0.0002,200,4.2210
0.3723,0.0009,0.0000,0.0002,0.3711,0.0001,200,4.2050
0.5473,0.0009,0.0000,0.0000,0.5462,0.0002,200,4.2051
0.7235,0.0008,0.0000,0.0001,0.7223,0.0003,200,4.2052
0.8991,0.0006,0.0000,0.0001,0.8984,0.0001,200,4.2054
0.1772,0.0005,0.0000,0.0002,0.1763,0.0002,200,5.0265
1.0755,0.0006,0.0000,0.0001,1.0746,0.0001,200,4.2052
0.3527,0.0001,0.0000,0.0001,0.3523,0.0002,200,5.0269
1.0575,0.0008,0.0000,0.0001,1.0563,0.0003,200,4.4004
0.5278,0.0008,0.0000,0.0000,0.5267,0.0002,200,5.0268
0.6052,0.0002,0.0000,0.0002,0.6046,0.0002,200,5.0266
0.7030,0.0012,0.0000,0.0000,0.7015,0.0002,200,5.0265
0.5271,0.0004,0.0000,0.0001,0.5263,0.0002,200,5.2807
0.8010,0.0003,0.0000,0.0001,0.8004,0.0002,200,5.1047
0.5255,0.0002,0.0000,0.0001,0.5251,0.0001,200,5.4580
0.1769,0.0009,0.0000,0.0002,0.1756,0.0001,200,6.0257
0.1759,0.0003,0.0000,0.0001,0.1755,0.0001,200,6.0266
0.3517,0.0005,0.0000,0.0001,0.3510,0.0001,200,6.0261
0.3513,0.0004,0.0000,0.0001,0.3506,0.0001,200,6.0265
0.5276,0.0004,0.0000,0.0005,0.5265,0.0001,200,6.0260
0.5268,0.0002,0.0000,0.0001,0.5266,-0.0000,200,6.0269
0.7040,0.0008,0.0000,0.0001,0.7029,0.0003,200,6.0262
0.8804,0.0003,0.0000,0.0000,0.8798,0.0001,200,6.0267
0.1765,0.0010,0.0000,0.0002,0.1751,0.0002,200,7.0160
0.1774,0.0009,0.0000,0.0003,0.1760,0.0002,200,7.0160
0.3515,0.0004,0.0000,0.0002,0.3506,0.0002,200,7.0164
0.3533,0.0006,0.0000,0.0003,0.3523,0.0001,200,7.0162
0.5268,0.0004,0.0000,0.0000,0.5261,0.0001,200,7.0165
0.5278,0.0006,0.0000,0.0001,0.5269,0.0001,200,7.0163
0.7021,0.0004,0.0000,0.0001,0.7014,0.0002,200,7.0165
0.7028,0.0001,0.0000,0.0000,0.7025,0.0001,200,7.0170
0.1765,0.0005,0.0000,0.0001,0.1758,0.0002,200,8.0161
0.1844,0.0007,0.0000,0.0001,0.1833,0.0002,200,8.0159
0.3514,0.0003,0.0000,0.0001,0.3507,0.0002,200,8.0161
0.3616,0.0009,0.0000,0.0000,0.3597,0.0009,200,8.0158
0.5264,0.0001,0.0000,0.0001,0.5260,0.0002,200,8.0163
0.5370,0.0002,0.0000,0.0001,0.5366,0.0001,200,8.0164
0.7020,0.0003,0.0000,0.0001,0.7015,0.0002,200,8.0167
0.7155,0.0004,0.0000,0.0000,0.7125,0.0026,200,8.0163
0.1771,0.0004,0.0000,0.0003,0.1761,0.0003,200,9.0159
0.1776,0.0002,0.0000,0.0002,0.1771,0.0001,200,9.0161
0.1783,0.0007,0.0000,0.0003,0.1773,0.0001,200,9.0157
0.3532,0.0004,0.0000,0.0001,0.3526,0.0002,200,9.0162
0.3577,0.0005,0.0000,0.0001,0.3569,0.0002,200,9.0167
0.3588,0.0007,0.0000,0.0002,0.3578,0.0000,200,9.0157
0.5344,0.0002,0.0000,0.0003,0.5338,0.0001,200,9.0161
0.7100,0.0001,0.0000,0.0001,0.7096,0.0001,200,9.0165
0.1764,0.0004,0.0000,0.0002,0.1757,-0.0000,200,10.0160
0.1768,0.0008,0.0000,0.0002,0.1754,0.0003,200,10.0157
0.1769,0.0002,0.0000,0.0001,0.1765,0.0001,200,10.0163
0.3518,0.0005,0.0000,0.0002,0.3506,0.0004,200,10.0160
0.3516,0.0001,0.0000,0.0001,0.3514,0.0001,200,10.0166
0.3530,0.0001,0.0000,0.0001,0.3526,0.0001,200,10.0164
0.5282,0.0002,0.0000,0.0001,0.5278,0.0001,200,10.0163
0.7032,0.0002,0.0000,0.0001,0.7028,0.0002,200,10.0165
0.1757,0.0002,0.0000,0.0002,0.1752,0.0002,200,11.0158
0.1770,0.0008,0.0000,0.0003,0.1757,0.0001,200,11.0153
0.1766,0.0006,0.0000,0.0003,0.1757,0.0000,200,11.0157
0.3520,0.0005,0.0000,0.0002,0.3510,0.0002,200,11.0156
0.3515,0.0002,0.0000,0.0002,0.3510,0.0001,200,11.0163
0.3523,0.0006,0.0000,0.0002,0.3514,0.0001,200,11.0154
0.5278,0.0008,0.0000,0.0001,0.5266,0.0003,200,11.0158
0.7031,0.0003,0.0000,0.0002,0.7025,0.0001,200,11.0162
0.1765,0.0006,0.0000,0.0001,0.1756,0.0002,200,12.0162
0.1773,0.0002,0.0000,0.0001,0.1768,0.0001,200,12.0163
0.1777,0.0004,0.0000,0.0000,0.1771,0.0001,200,12.0162
0.3531,0.0003,0.0000,0.0001,0.3525,0.0002,200,12.0166
0.3529,0.0002,0.0000,0.0001,0.3526,0.0001,200,12.0169
0.5290,0.0001,0.0000,0.0000,0.5287,0.0001,200,12.0167
0.7047,0.0003,0.0000,0.0002,0.7041,0.0001,200,12.0169
0.8808,0.0002,0.0000,0.0000,0.8801,0.0005,200,12.0171
0.1773,0.0008,0.0000,0.0001,0.1762,0.0001,200,13.0156
0.1770,0.0005,0.0000,0.0001,0.1763,0.0001,200,13.0159
0.1772,0.0012,0.0000,0.0000,0.1758,0.0001,200,13.0157
0.3524,0.0002,0.0000,0.0001,0.3519,0.0001,200,13.0162
0.3523,0.0001,0.0000,0.0001,0.3520,0.0001,200,13.0162
0.5273,0.0001,0.0000,0.0001,0.5269,0.0003,200,13.0163
0.5279,0.0001,0.0000,0.0001,0.5276,0.0001,200,13.0163
0.7028,0.0002,0.0000,0.0000,0.7024,0.0001,200,13.0165
0.1770,0.0008,0.0000,0.0002,0.1759,0.0001,200,14.0155
0.1768,0.0005,0.0000,0.0002,0.1760,0.0001,200,14.0158
0.1766,0.0003,0.0000,-0.0000,0.1761,0.0002,200,14.0161
0.3528,0.0006,0.0000,0.0002,0.3521,0.0001,200,14.0158
0.3527,0.0002,0.0000,0.0003,0.3520,0.0003,200,14.0160
0.5280,0.0004,0.0000,0.0002,0.5271,0.0003,200,14.0159
0.5283,0.0002,0.0000,0.0001,0.5280,0.0001,200,14.0160
0.7042,0.0006,0.0000,0.0002,0.7032,0.0002,200,14.0156
0.1760,0.0001,0.0000,0.0001,0.1755,0.0002,200,15.0157
0.1772,0.0008,0.0000,0.0001,0.1761,0.0001,200,15.0152
0.1769,0.0003,0.0000,0.0002,0.1763,0.0000,200,15.0155
0.3517,0.0002,0.0000,0.0001,0.3513,0.0001,200,15.0158
0.3523,0.0007,0.0000,0.0002,0.3513,0.0002,200,15.0152
0.5274,0.0002,0.0000,0.0003,0.5266,0.0003,200,15.0156
0.5281,0.0001,0.0000,0.0001,0.5277,0.0002,200,15.0159
0.7027,0.0007,0.0000,0.0003,0.7016,0.0002,200,15.0152
0.1771,0.0009,0.0000,0.0001,0.1758,0.0001,200,16.0156
0.1761,0.0004,0.0000,0.0001,0.1755,0.0001,200,16.0166
0.1772,0.0006,0.0000,0.0003,0.1763,0.0001,200,16.0161
0.3533,0.0008,0.0000,0.0001,0.3521,0.0003,200,16.0158
0.3529,0.0004,0.0000,0.0001,0.3520,0.0002,200,16.0162
0.3527,0.0008,0.0000,0.0000,0.3519,0.0000,200,16.0164
0.5281,0.0003,0.0000,0.0001,0.5275,0.0002,200,16.0164
0.5285,0.0005,0.0000,0.0001,0.5276,0.0003,200,16.0160
0.1765,0.0004,0.0000,0.0002,0.1757,0.0001,200,17.0171
0.1762,0.0002,0.0000,0.0000,0.1758,0.0001,200,17.0174
0.1765,0.0003,0.0000,0.0001,0.1760,0.0001,200,17.0172
0.3518,0.0005,0.0000,0.0002,0.3508,0.0002,200,17.0169
0.3521,0.0001,0.0000,0.0002,0.3516,0.0002,200,17.0174
0.3532,0.0004,0.0000,0.0000,0.3516,0.0001,200,17.0167
0.5277,0.0001,0.0000,0.0000,0.5269,0.0006,200,17.0175
0.7028,0.0001,0.0000,0.0000,0.7025,0.0001,200,17.0176
0.1771,0.0012,0.0000,0.0003,0.1754,0.0002,200,18.0645
0.1771,0.0007,0.0000,0.0002,0.1761,0.0002,200,18.0645
0.1913,0.0010,0.0000,0.0001,0.1899,0.0004,200,18.0643
0.3530,0.0012,0.0000,0.0000,0.3516,0.0001,200,18.0644
0.8637,0.0016,0.0000,0.0004,0.8613,0.0001,200,18.0638
0.8671,0.0017,0.0000,0.0002,0.8651,0.0001,200,18.0642
1.0435,0.0025,0.0000,0.0002,1.0407,0.0001,200,18.0640
1.0461,0.0021,0.0000,0.0001,1.0437,0.0001,200,18.0639
0.1782,0.0003,0.0000,0.0000,0.1776,0.0002,200,19.1074
0.1787,0.0003,0.0000,0.0001,0.1782,0.0002,200,19.1076
0.3543,0.0002,0.0000,0.0001,0.3539,0.0001,200,19.1074
0.3545,0.0002,0.0000,0.0001,0.3542,0.0001,200,19.1078
0.5300,0.0002,0.0000,0.0001,0.5294,0.0002,200,19.1077
0.5659,0.0004,0.0000,0.0002,0.5651,0.0002,200,19.1100
0.7391,0.0001,0.0000,0.0001,0.7385,0.0004,200,19.1077
0.9145,0.0001,0.0000,0.0001,0.9142,0.0001,200,19.1078
0.1825,0.0002,0.0000,0.0002,0.1818,0.0002,200,20.0158
0.1829,0.0003,0.0000,0.0002,0.1821,0.0001,200,20.0153
0.3559,0.0010,0.0000,0.0001,0.3544,0.0002,200,20.0153
0.5314,0.0005,0.0000,0.0001,0.5305,0.0003,200,20.0156
0.7069,0.0002,0.0000,0.0002,0.7063,0.0002,200,20.0158
0.8821,0.0001,0.0000,0.0002,0.8816,0.0003,200,20.0158
1.0578,0.0001,0.0000,0.0001,1.0575,0.0001,200,20.0159
0.1774,0.0006,0.0000,0.0000,0.1765,0.0001,200,21.0212
1.2284,0.0002,0.0000,0.0001,1.2280,0.0001,200,20.0223
0.3526,0.0002,0.0000,0.0000,0.3522,0.0002,200,21.0218
0.4055,0.0003,0.0000,0.0001,0.4049,0.0002,200,21.0212
0.5806,0.0003,0.0000,0.0001,0.5796,0.0007,200,21.0215
0.7560,0.0001,0.0000,0.0000,0.7555,0.0001,200,21.0216
0.9325,0.0010,0.0000,0.0001,0.9312,0.0002,200,21.0213
1.0558,0.0002,0.0000,0.0001,1.0554,0.0001,200,21.0737
0.1767,0.0003,0.0000,0.0001,0.1760,0.0002,200,22.0151
1.0568,0.0003,0.0000,0.0001,1.0563,0.0001,200,21.2507
0.3524,0.0002,0.0000,0.0002,0.3518,0.0001,200,22.0152
0.4675,0.0002,0.0000,0.0001,0.4670,0.0001,200,22.0152
0.5292,0.0001,0.0000,0.0001,0.5289,0.0002,200,22.0154
0.6424,0.0001,0.0000,0.0001,0.6420,0.0001,200,22.0154
0.7050,0.0001,0.0000,0.0000,0.7047,0.0001,200,22.0155
0.7044,0.0002,0.0000,0.0001,0.7040,0.0002,200,22.1295
