,ts,value
0,1675983750,0.21853017410616657
1,1675983751,0.22203028780615106
2,1675983752,0.2207788018932307
3,1675983753,0.2195273159803104
4,1675983754,0.21827583006739001
5,1675983755,0.2474295134700779
6,1675983756,0.2474295134700779
7,1675983757,0.27177944254855824
8,1675983758,0.27177944254855824
9,1675983759,0.27177944254855824
10,1675983760,0.24332813519158022
11,1675983761,0.2868547372206114
12,1675983762,0.28885105332280986
13,1675983763,0.2954410734375367
14,1675983764,0.2974888340069984
15,1675983765,0.3109745243842286
16,1675983766,0.3268374082175683
17,1675983767,0.3262589653525518
18,1675983768,0.32568052248753526
19,1675983769,0.3251020796225188
20,1675983770,0.32452363675750234
21,1675983771,0.31181750664921254
22,1675983772,0.39305787418405996
23,1675983773,0.40661529973544724
24,1675983774,0.4051185471548228
25,1675983775,0.4036217945741983
26,1675983776,0.466567214485986
27,1675983777,0.4645708983837875
28,1675983778,0.562307025707259
29,1675983779,0.6069382028987124
30,1675983780,0.6411317008794897
31,1675983781,0.6411317008794897
32,1675983782,0.676361565732285
33,1675983783,0.676361565732285
34,1675983784,0.676361565732285
35,1675983785,0.676361565732285
36,1675983786,0.676361565732285
37,1675983787,0.676361565732285
38,1675983788,0.676361565732285
39,1675983789,0.676361565732285
40,1675983790,0.676361565732285
41,1675983791,0.6678421701566126
42,1675983792,0.6168640800309947
43,1675983793,0.6681342314142649
44,1675983794,0.8148760890322921
45,1675983795,0.8387950661546392
46,1675983796,0.8365278645316678
47,1675983797,0.8342606629086967
48,1675983798,0.8346191826356222
49,1675983799,0.8323519810126508
50,1675983800,0.8300847793896796
51,1675983801,0.8278175777667083
52,1675983802,0.8255503761437369
53,1675983803,0.8232831745207657
54,1675983804,0.8210159728977944
55,1675983805,0.7725815747504217
56,1675983806,0.8364621789520063
57,1675983807,0.8384026412898647
58,1675983808,0.8403431036277232
59,1675983809,0.849229556124321
60,1675983810,0.8347725431027023
61,1675983811,0.836897293946908
62,1675983812,0.8390220447911138
63,1675983813,0.8437000631307802
64,1675983814,0.8459528197652477
65,1675983815,0.7889182539590164
66,1675983816,0.7934382122164555
67,1675983817,0.747290036247381
68,1675983818,0.7879417964847116
69,1675983819,0.7928064640353284
70,1675983820,0.8382939270081876
71,1675983821,0.8352586701744142
72,1675983822,0.7931202589115908
73,1675983823,0.6949419133767939
74,1675983824,0.7669682291422752
75,1675983825,0.7627042824653602
76,1675983826,0.7584403357884452
77,1675983827,0.7541763891115302
78,1675983828,0.7488386658630025
79,1675983829,0.7444467133958255
80,1675983830,0.8558729022896082
81,1675983831,0.8558729022896082
82,1675983832,0.8585174875476453
83,1675983833,0.8585174875476453
84,1675983834,0.8585174875476453
85,1675983835,0.8585174875476453
86,1675983836,0.881752510942281
87,1675983837,0.881752510942281
88,1675983838,0.8340145692562689
89,1675983839,0.8060601645017363
90,1675983840,0.8030771681293706
91,1675983841,0.7440734665486829
92,1675983842,0.7859661547177844
93,1675983843,0.7829831583454187
94,1675983844,0.7800001619730529
95,1675983845,0.7770171656006871
96,1675983846,0.7749370580699343
97,1675983847,0.8704291254471627
98,1675983848,0.867318123284535
99,1675983849,0.8642071211219071
100,1675983850,0.8610961189592793
101,1675983851,0.8579851167966517
102,1675983852,0.8548741146340239
103,1675983853,0.8439874974519884
104,1675983854,0.7693883299541007
105,1675983855,0.7692603241638386
106,1675983856,0.7791651757970315
107,1675983857,0.7776667482852212
108,1675983858,0.8271861850506914
109,1675983859,0.8256877575388811
110,1675983860,0.8216789444713478
111,1675983861,0.8203085227497997
112,1675983862,0.7659774444994089
113,1675983863,0.7600678621582898
114,1675983864,0.7541582798171708
115,1675983865,0.7482486974760515
116,1675983866,0.6772776789398894
117,1675983867,0.6728420019065261
118,1675983868,0.5639718433837083
119,1675983869,0.5181344221910745
120,1675983870,0.48805952516926504
