response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1810,0.0026,0.0000,0.0001,0.1778,0.0003,200,1.0229
0.3539,0.0010,0.0000,0.0001,0.3523,0.0002,200,1.0245
0.1905,0.0006,0.0000,0.0001,0.1862,0.0035,200,2.0231
0.3553,0.0006,0.0000,0.0002,0.3528,0.0017,200,2.0232
0.1793,0.0009,0.0000,0.0001,0.1777,0.0006,200,3.0235
0.3530,0.0004,0.0000,0.0001,0.3524,0.0001,200,3.0240
0.1914,0.0009,0.0000,0.0001,0.1901,0.0002,200,4.0230
0.3539,0.0002,0.0000,0.0001,0.3535,0.0001,200,4.0234
0.1892,0.0117,0.0000,0.0001,0.1770,0.0002,200,5.1522
0.3798,0.0144,0.0000,0.0001,0.3650,0.0001,200,5.1541
0.1813,0.0006,0.0000,0.0004,0.1799,0.0004,200,6.0235
0.3639,0.0038,0.0000,0.0001,0.3597,0.0002,200,6.0237
0.1930,0.0004,0.0000,0.0001,0.1923,0.0002,200,7.0452
0.3731,0.0263,0.0000,0.0012,0.3454,0.0002,200,7.0411
0.2423,0.0006,0.0000,0.0020,0.2395,0.0002,200,8.0256
0.4207,0.0002,0.0000,0.0001,0.4203,0.0001,200,8.0260
0.1755,0.0003,0.0000,0.0001,0.1750,0.0001,200,9.0234
0.3533,0.0010,0.0000,0.0001,0.3520,0.0002,200,9.0228
0.1771,0.0004,0.0000,0.0001,0.1762,0.0002,200,10.0242
0.3516,0.0002,0.0000,0.0001,0.3511,0.0002,200,10.0246
0.1770,0.0005,0.0000,0.0001,0.1761,0.0003,200,11.0226
0.3537,0.0002,0.0000,0.0001,0.3532,0.0001,200,11.0229
0.1774,0.0010,0.0000,0.0001,0.1762,0.0001,200,12.0227
0.3522,0.0009,0.0000,0.0001,0.3510,0.0003,200,12.0229
0.1764,0.0006,0.0000,0.0001,0.1756,0.0001,200,13.0236
0.3517,0.0006,0.0000,0.0001,0.3507,0.0002,200,13.0235
0.1809,0.0004,0.0000,0.0001,0.1800,0.0003,200,14.0231
0.3556,0.0002,0.0000,0.0037,0.3516,0.0002,200,14.0235
0.1764,0.0005,0.0000,0.0001,0.1754,0.0002,200,15.0278
0.3527,0.0007,0.0000,0.0001,0.3515,0.0003,200,15.0277
0.1806,0.0016,0.0000,0.0001,0.1785,0.0005,200,16.0390
0.3536,0.0020,0.0000,0.0001,0.3513,0.0002,200,16.0389
0.1898,0.0005,0.0000,0.0001,0.1849,0.0003,200,17.0373
0.3575,0.0002,0.0000,0.0001,0.3570,0.0002,200,17.0417
0.1766,0.0005,0.0000,0.0002,0.1759,0.0001,200,18.0239
0.3520,0.0008,0.0000,0.0001,0.3510,0.0001,200,18.0240
0.2134,0.0022,0.0000,0.0001,0.2108,0.0002,200,19.1028
0.3887,0.0018,0.0000,0.0003,0.3865,0.0001,200,19.1033
0.1764,0.0006,0.0000,0.0002,0.1754,0.0001,200,20.0234
0.3615,0.0007,0.0000,0.0002,0.3601,0.0005,200,20.0235
0.1773,0.0011,0.0000,0.0001,0.1759,0.0002,200,21.0228
0.3541,0.0012,0.0000,0.0001,0.3525,0.0002,200,21.0228
0.1805,0.0004,0.0000,0.0006,0.1794,0.0002,200,22.0228
0.3585,0.0004,0.0000,0.0004,0.3574,0.0003,200,22.0229
0.2065,0.0005,0.0000,0.0001,0.2054,0.0001,200,23.0345
0.3986,0.0005,0.0000,0.0001,0.3979,0.0001,200,23.0349
0.1808,0.0005,0.0000,0.0002,0.1799,0.0002,200,24.0231
0.3657,0.0049,0.0000,0.0001,0.3603,0.0002,200,24.0231
0.2220,0.0260,0.0000,0.0037,0.1919,0.0002,200,25.0441
0.4182,0.0475,0.0000,0.0001,0.3704,0.0001,200,25.0267
0.1846,0.0008,0.0000,0.0001,0.1835,0.0002,200,26.0229
0.3556,0.0013,0.0000,0.0001,0.3540,0.0001,200,26.0228
0.1785,0.0003,0.0000,0.0004,0.1775,0.0003,200,27.0287
0.3574,0.0025,0.0000,0.0211,0.3335,0.0002,200,27.0269
0.1772,0.0012,0.0000,0.0001,0.1757,0.0002,200,28.0271
0.3537,0.0016,0.0000,0.0001,0.3516,0.0004,200,28.0269
0.1759,0.0005,0.0000,0.0001,0.1751,0.0002,200,29.0230
0.3522,0.0006,0.0000,0.0001,0.3512,0.0002,200,29.0228
0.2075,0.0008,0.0000,0.0001,0.2062,0.0005,200,30.0251
0.3723,0.0045,0.0000,0.0001,0.3674,0.0002,200,30.0251
0.1776,0.0005,0.0000,0.0001,0.1767,0.0003,200,31.0234
0.3535,0.0008,0.0000,0.0001,0.3522,0.0003,200,31.0230
0.1773,0.0007,0.0000,0.0002,0.1762,0.0002,200,32.0232
0.3530,0.0008,0.0000,0.0004,0.3513,0.0004,200,32.0232
0.1805,0.0007,0.0000,0.0001,0.1795,0.0001,200,33.0308
0.3589,0.0003,0.0000,0.0001,0.3581,0.0002,200,33.0313
0.1912,0.0031,0.0000,0.0004,0.1873,0.0004,200,34.1407
0.3618,0.0005,0.0000,0.0001,0.3609,0.0002,200,34.1436
0.1975,0.0022,0.0000,0.0001,0.1950,0.0002,200,35.0498
0.3763,0.0006,0.0000,0.0003,0.3709,0.0043,200,35.0509
0.1767,0.0005,0.0000,0.0001,0.1759,0.0002,200,36.0225
0.3524,0.0003,0.0000,0.0001,0.3518,0.0001,200,36.0232
0.1779,0.0012,0.0000,0.0002,0.1763,0.0001,200,37.0350
0.3536,0.0019,0.0000,0.0001,0.3507,0.0009,200,37.0372
0.1767,0.0003,0.0000,0.0001,0.1760,0.0003,200,38.0444
0.3664,0.0205,0.0000,0.0001,0.3455,0.0002,200,38.0300
0.1864,0.0010,0.0000,0.0001,0.1850,0.0002,200,39.0468
0.3677,0.0209,0.0000,0.0001,0.3466,0.0001,200,39.0413
0.2341,0.0012,0.0000,0.0001,0.2315,0.0012,200,40.0490
0.4276,0.0014,0.0000,0.0001,0.4258,0.0002,200,40.0489
0.1900,0.0011,0.0000,0.0000,0.1884,0.0004,200,41.0229
0.3593,0.0003,0.0000,0.0001,0.3587,0.0001,200,41.0236
0.1924,0.0002,0.0000,0.0001,0.1917,0.0004,200,42.0235
0.3678,0.0003,0.0000,0.0001,0.3672,0.0002,200,42.0234
0.1780,0.0011,0.0000,0.0001,0.1765,0.0003,200,43.0233
0.3545,0.0008,0.0000,0.0001,0.3533,0.0002,200,43.0232
0.2872,0.0008,0.0000,0.0002,0.2858,0.0002,200,44.0241
0.4625,0.0109,0.0000,0.0002,0.4511,0.0002,200,44.0246
0.2291,0.0002,0.0000,0.0001,0.2284,0.0003,200,45.0254
0.4316,0.0007,0.0000,0.0005,0.4036,0.0267,200,45.0249
0.1783,0.0004,0.0000,0.0001,0.1776,0.0002,200,46.0254
0.3557,0.0139,0.0000,0.0001,0.3322,0.0004,200,46.0247
0.1843,0.0004,0.0000,0.0001,0.1836,0.0002,200,47.0232
0.1901,0.0006,0.0000,0.0001,0.1891,0.0003,200,47.0228
0.1857,0.0003,0.0000,0.0001,0.1851,0.0002,200,48.0293
0.1976,0.0018,0.0000,0.0014,0.1942,0.0002,200,48.0290
0.1847,0.0009,0.0000,0.0001,0.1833,0.0004,200,49.0350
0.2000,0.0002,0.0000,0.0001,0.1995,0.0002,200,49.0356
0.1818,0.0006,0.0000,0.0002,0.1807,0.0002,200,50.0228
0.3571,0.0003,0.0000,0.0001,0.3565,0.0001,200,50.0234
0.1792,0.0010,0.0000,0.0001,0.1775,0.0006,200,51.0234
0.1836,0.0010,0.0000,0.0001,0.1819,0.0004,200,51.0233
0.1767,0.0009,0.0000,0.0001,0.1755,0.0001,200,52.0315
0.1792,0.0005,0.0000,0.0001,0.1776,0.0009,200,52.0317
0.1760,0.0008,0.0000,0.0001,0.1750,0.0001,200,53.0248
0.1777,0.0006,0.0000,0.0001,0.1769,0.0001,200,53.0245
0.1769,0.0003,0.0000,0.0001,0.1762,0.0002,200,54.0234
0.1795,0.0004,0.0000,0.0001,0.1788,0.0001,200,54.0234
0.1779,0.0008,0.0000,0.0001,0.1767,0.0002,200,55.0231
0.1791,0.0010,0.0000,0.0001,0.1778,0.0002,200,55.0227
0.1775,0.0009,0.0000,0.0001,0.1760,0.0004,200,56.0274
0.3552,0.0015,0.0000,0.0000,0.3534,0.0001,200,56.0271
0.1870,0.0084,0.0000,0.0003,0.1780,0.0003,200,57.0225
0.1879,0.0009,0.0000,0.0001,0.1868,0.0001,200,57.0227
0.1946,0.0103,0.0000,0.0020,0.1821,0.0002,200,58.0306
0.1983,0.0189,0.0000,0.0001,0.1772,0.0001,200,58.0313
0.1778,0.0006,0.0000,0.0001,0.1768,0.0003,200,59.0240
0.1803,0.0040,0.0000,0.0001,0.1760,0.0001,200,59.0237
0.1770,0.0003,0.0000,0.0001,0.1765,0.0001,200,60.0231
0.1770,0.0011,0.0000,0.0001,0.1757,0.0001,200,60.0231
0.1766,0.0005,0.0000,0.0001,0.1759,0.0001,200,61.0243
0.3519,0.0006,0.0000,0.0001,0.3510,0.0001,200,61.0243
0.1769,0.0003,0.0000,0.0001,0.1761,0.0004,200,62.0227
0.3554,0.0004,0.0000,0.0001,0.3546,0.0003,200,62.0228
0.1801,0.0006,0.0000,0.0001,0.1782,0.0012,200,63.0233
0.1801,0.0012,0.0000,0.0001,0.1787,0.0001,200,63.0234
0.1775,0.0008,0.0000,0.0001,0.1765,0.0001,200,64.0238
0.1778,0.0008,0.0000,0.0001,0.1767,0.0001,200,64.0236
0.1822,0.0013,0.0000,0.0001,0.1807,0.0002,200,65.1574
0.1885,0.0052,0.0000,0.0001,0.1826,0.0006,200,65.1561
0.1769,0.0005,0.0000,0.0001,0.1761,0.0001,200,66.0231
0.3659,0.0006,0.0000,0.0000,0.3650,0.0001,200,66.0231
0.1772,0.0009,0.0000,0.0001,0.1760,0.0002,200,67.0241
0.3529,0.0009,0.0000,0.0001,0.3517,0.0001,200,67.0240
0.1764,0.0007,0.0000,0.0001,0.1754,0.0002,200,68.0225
0.3512,0.0005,0.0000,0.0000,0.3505,0.0001,200,68.0227
0.1852,0.0007,0.0000,0.0002,0.1841,0.0002,200,69.0230
0.1859,0.0006,0.0000,0.0002,0.1848,0.0003,200,69.0228
0.1766,0.0005,0.0000,0.0001,0.1759,0.0001,200,70.0235
0.1778,0.0006,0.0000,0.0001,0.1768,0.0003,200,70.0239
0.1780,0.0015,0.0000,0.0001,0.1763,0.0001,200,71.0272
0.1778,0.0012,0.0000,0.0002,0.1762,0.0002,200,71.0274
0.1802,0.0007,0.0000,0.0001,0.1791,0.0002,200,72.0233
0.1903,0.0009,0.0000,0.0001,0.1890,0.0003,200,72.0231
0.1791,0.0009,0.0000,0.0001,0.1774,0.0008,200,73.0236
0.1858,0.0006,0.0000,0.0004,0.1845,0.0003,200,73.0230
0.1823,0.0006,0.0000,0.0003,0.1811,0.0002,200,74.0233
0.1825,0.0006,0.0000,0.0001,0.1816,0.0001,200,74.0232
0.1964,0.0003,0.0000,0.0003,0.1956,0.0003,200,75.0246
0.3552,0.0014,0.0000,0.0001,0.3534,0.0002,200,75.0239
0.1765,0.0006,0.0000,0.0000,0.1755,0.0004,200,76.0427
0.3518,0.0001,0.0000,0.0001,0.3514,0.0002,200,76.0431
0.1780,0.0008,0.0000,0.0004,0.1762,0.0006,200,77.0249
0.3566,0.0006,0.0000,0.0003,0.3555,0.0002,200,77.0247
0.1830,0.0013,0.0000,0.0002,0.1812,0.0003,200,78.1643
0.1897,0.0004,0.0000,0.0001,0.1890,0.0002,200,78.1646
0.1771,0.0005,0.0000,0.0001,0.1764,0.0002,200,79.0233
0.1804,0.0004,0.0000,0.0000,0.1795,0.0004,200,79.0238
0.1810,0.0008,0.0000,0.0001,0.1799,0.0002,200,80.0232
0.3639,0.0002,0.0000,0.0001,0.3634,0.0002,200,80.0236
0.1776,0.0014,0.0000,0.0002,0.1758,0.0002,200,81.0227
0.1776,0.0013,0.0000,0.0004,0.1758,0.0001,200,81.0229
0.1812,0.0006,0.0000,0.0001,0.1804,0.0002,200,82.0231
0.3553,0.0015,0.0000,0.0001,0.3534,0.0003,200,82.0233
0.1773,0.0003,0.0000,0.0001,0.1765,0.0003,200,83.0237
0.3532,0.0009,0.0000,0.0004,0.3516,0.0003,200,83.0233
0.1778,0.0014,0.0000,0.0001,0.1761,0.0002,200,84.0275
0.3560,0.0013,0.0000,0.0001,0.3543,0.0002,200,84.0273
0.1784,0.0011,0.0000,0.0001,0.1768,0.0003,200,85.0230
0.1796,0.0008,0.0000,0.0001,0.1784,0.0002,200,85.0232
0.1757,0.0002,0.0000,0.0001,0.1752,0.0002,200,86.0233
0.1779,0.0008,0.0000,0.0001,0.1769,0.0002,200,86.0227
0.1795,0.0038,0.0000,0.0001,0.1756,0.0001,200,87.0235
0.1795,0.0037,0.0000,0.0001,0.1755,0.0001,200,87.0235
0.1772,0.0004,0.0000,0.0001,0.1765,0.0001,200,88.0227
0.1791,0.0014,0.0000,0.0001,0.1776,0.0001,200,88.0227
0.1772,0.0007,0.0000,0.0000,0.1760,0.0002,200,89.0225
0.1832,0.0002,0.0000,0.0001,0.1828,0.0001,200,89.0229
0.1763,0.0004,0.0000,0.0001,0.1756,0.0002,200,90.0236
0.1765,0.0003,0.0000,0.0001,0.1760,0.0001,200,90.0234
0.1774,0.0008,0.0000,0.0002,0.1763,0.0002,200,91.0228
0.1772,0.0004,0.0000,0.0001,0.1765,0.0001,200,91.0231
0.1857,0.0004,0.0000,0.0001,0.1849,0.0001,200,92.0225
0.3774,0.0004,0.0000,0.0001,0.3668,0.0101,200,92.0229
0.1775,0.0007,0.0000,0.0001,0.1764,0.0003,200,93.0227
0.1776,0.0004,0.0000,0.0001,0.1769,0.0001,200,93.0227
0.1959,0.0163,0.0000,0.0000,0.1793,0.0002,200,94.0642
0.1948,0.0145,0.0000,0.0001,0.1799,0.0003,200,94.0656
0.2075,0.0070,0.0000,0.0005,0.1995,0.0004,200,95.0638
0.4144,0.0025,0.0000,0.0052,0.4059,0.0003,200,95.0645
0.1879,0.0087,0.0000,0.0001,0.1789,0.0002,200,96.0741
0.3556,0.0018,0.0000,0.0001,0.3532,0.0004,200,96.0829
0.1772,0.0004,0.0000,0.0003,0.1763,0.0002,200,97.0448
0.1787,0.0018,0.0000,0.0001,0.1767,0.0002,200,97.0450
0.2041,0.0007,0.0000,0.0001,0.2028,0.0002,200,98.0240
0.2222,0.0015,0.0000,0.0001,0.1957,0.0248,200,98.0238
0.1765,0.0004,0.0000,0.0001,0.1758,0.0001,200,99.0238
0.1771,0.0007,0.0000,0.0001,0.1760,0.0001,200,99.0234
0.1817,0.0004,0.0000,0.0001,0.1809,0.0002,200,100.0245
0.3933,0.0007,0.0000,0.0001,0.3923,0.0002,200,100.0247
0.1773,0.0010,0.0000,0.0001,0.1759,0.0002,200,101.0231
0.3521,0.0002,0.0000,0.0001,0.3517,0.0001,200,101.0242
0.1841,0.0019,0.0000,0.0000,0.1819,0.0002,200,102.0239
0.2033,0.0015,0.0000,0.0001,0.2015,0.0003,200,102.0241
0.1761,0.0003,0.0000,0.0001,0.1755,0.0003,200,103.0233
0.1765,0.0007,0.0000,0.0000,0.1756,0.0001,200,103.0230
0.1855,0.0023,0.0000,0.0001,0.1829,0.0002,200,104.0500
0.3640,0.0009,0.0000,0.0002,0.3622,0.0006,200,104.0515
0.1807,0.0040,0.0000,0.0001,0.1764,0.0002,200,105.0250
0.1894,0.0007,0.0000,0.0005,0.1879,0.0002,200,105.0239
0.1765,0.0003,0.0000,0.0001,0.1757,0.0002,200,106.0238
0.1772,0.0013,0.0000,0.0001,0.1756,0.0001,200,106.0238
0.1765,0.0005,0.0000,0.0001,0.1755,0.0003,200,107.0247
0.1777,0.0012,0.0000,0.0001,0.1760,0.0002,200,107.0246
0.1783,0.0011,0.0000,0.0001,0.1762,0.0007,200,108.0385
0.1884,0.0010,0.0000,0.0001,0.1861,0.0006,200,108.0382
0.1929,0.0041,0.0000,0.0001,0.1880,0.0005,200,109.1834
0.5877,0.0015,0.0000,0.0001,0.5822,0.0010,200,109.1833
0.1900,0.0009,0.0000,0.0001,0.1866,0.0024,200,110.1481
0.2118,0.0004,0.0000,0.0001,0.2109,0.0003,200,110.1485
0.1779,0.0019,0.0000,0.0001,0.1758,0.0001,200,111.0380
0.1949,0.0019,0.0000,0.0002,0.1923,0.0003,200,111.0377
0.1785,0.0004,0.0000,0.0001,0.1778,0.0002,200,112.1174
0.1928,0.0086,0.0000,0.0003,0.1834,0.0006,200,112.1171
0.1764,0.0007,0.0000,0.0001,0.1755,0.0001,200,113.0229
0.3522,0.0007,0.0000,0.0001,0.3512,0.0002,200,113.0228
0.1771,0.0009,0.0000,0.0000,0.1759,0.0002,200,114.0243
0.3549,0.0006,0.0000,0.0001,0.3525,0.0016,200,114.0245
0.1772,0.0007,0.0000,0.0001,0.1762,0.0001,200,115.0228
0.3530,0.0006,0.0000,0.0001,0.3520,0.0002,200,115.0230
0.1775,0.0008,0.0000,0.0001,0.1763,0.0003,200,116.0270
0.3538,0.0007,0.0000,0.0000,0.3526,0.0004,200,116.0272
0.1769,0.0006,0.0000,0.0001,0.1759,0.0003,200,117.0230
0.3577,0.0005,0.0000,0.0001,0.3569,0.0002,200,117.0233
0.2064,0.0069,0.0000,0.0001,0.1992,0.0002,200,118.0291
0.3805,0.0031,0.0000,0.0001,0.3772,0.0002,200,118.0328
0.1768,0.0004,0.0000,0.0001,0.1759,0.0002,200,119.0235
0.1771,0.0004,0.0000,0.0001,0.1765,0.0001,200,119.0233
0.1826,0.0013,0.0000,0.0019,0.1791,0.0002,200,120.0249
0.3572,0.0012,0.0000,0.0019,0.3537,0.0001,200,120.0257
