response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1784,0.0011,0.0000,0.0002,0.1769,0.0002,200,1.0264
0.1870,0.0016,0.0000,0.0001,0.1848,0.0005,200,1.0277
0.1939,0.0014,0.0000,0.0004,0.1907,0.0007,200,1.0232
0.1945,0.0004,0.0000,0.0001,0.1937,0.0003,200,1.0275
0.1973,0.0175,0.0000,0.0001,0.1795,0.0001,200,1.0248
0.1977,0.0007,0.0000,0.0006,0.1962,0.0001,200,1.0259
0.1985,0.0005,0.0000,0.0001,0.1976,0.0002,200,1.0269
0.3936,0.0149,0.0000,0.0045,0.3739,0.0002,200,1.0250
0.1799,0.0028,0.0000,0.0001,0.1767,0.0002,200,2.0211
0.1820,0.0015,0.0000,0.0026,0.1777,0.0001,200,2.0202
0.1843,0.0006,0.0000,0.0002,0.1828,0.0004,200,2.0207
0.1984,0.0002,0.0000,0.0015,0.1964,0.0002,200,2.0224
0.2125,0.0102,0.0000,0.0001,0.2019,0.0003,200,2.0194
0.3740,0.0012,0.0000,0.0025,0.3700,0.0003,200,2.0205
0.4128,0.0016,0.0000,0.0001,0.4108,0.0002,200,2.0222
0.5515,0.0004,0.0000,0.0001,0.5508,0.0002,200,2.0216
0.1983,0.0007,0.0000,0.0000,0.1931,0.0044,200,3.0183
0.2156,0.0019,0.0000,0.0001,0.2134,0.0002,200,3.0157
0.2160,0.0002,0.0000,0.0002,0.2154,0.0002,200,3.0178
0.2221,0.0051,0.0000,0.0000,0.2166,0.0004,200,3.0141
0.2237,0.0017,0.0000,0.0001,0.2218,0.0001,200,3.0139
0.2228,0.0024,0.0000,0.0001,0.2202,0.0001,200,3.0158
0.3923,0.0005,0.0000,0.0001,0.3909,0.0008,200,3.0178
0.3993,0.0001,0.0000,0.0000,0.3989,0.0001,200,3.0179
0.1780,0.0013,0.0000,0.0001,0.1762,0.0003,200,4.0366
0.1776,0.0012,0.0000,0.0002,0.1759,0.0003,200,4.0410
0.1794,0.0019,0.0000,0.0002,0.1771,0.0001,200,4.0402
0.1832,0.0014,0.0000,0.0001,0.1815,0.0002,200,4.0411
0.1848,0.0019,0.0000,0.0008,0.1819,0.0002,200,4.0403
0.3563,0.0014,0.0000,0.0007,0.3538,0.0004,200,4.0408
0.3572,0.0010,0.0000,0.0001,0.3560,0.0001,200,4.0413
0.3597,0.0016,0.0000,0.0007,0.3572,0.0001,200,4.0406
0.1775,0.0009,0.0000,0.0006,0.1758,0.0002,200,5.0151
0.1792,0.0013,0.0000,0.0002,0.1773,0.0002,200,5.0144
0.1791,0.0005,0.0000,0.0001,0.1784,0.0002,200,5.0176
0.1802,0.0008,0.0000,0.0001,0.1792,0.0000,200,5.0166
0.1987,0.0006,0.0000,0.0005,0.1973,0.0003,200,5.0153
0.2055,0.0213,0.0000,0.0001,0.1839,0.0002,200,5.0151
0.3537,0.0099,0.0000,0.0008,0.3423,0.0004,200,5.0161
0.3686,0.0007,0.0000,0.0001,0.3675,0.0003,200,5.0158
0.1774,0.0008,0.0000,0.0003,0.1761,0.0002,200,6.0181
0.1783,0.0004,0.0000,0.0000,0.1777,0.0001,200,6.0178
0.1810,0.0008,0.0000,0.0000,0.1800,0.0001,200,6.0183
0.1821,0.0004,0.0000,0.0003,0.1813,0.0001,200,6.0183
0.1827,0.0004,0.0000,0.0001,0.1820,0.0001,200,6.0184
0.1872,0.0009,0.0000,0.0002,0.1859,0.0001,200,6.0179
0.1911,0.0006,0.0000,0.0001,0.1903,0.0001,200,6.0184
0.1974,0.0131,0.0000,0.0001,0.1839,0.0002,200,6.0187
0.1778,0.0006,0.0000,0.0001,0.1769,0.0002,200,7.0177
0.1806,0.0003,0.0000,0.0000,0.1798,0.0004,200,7.0181
0.1886,0.0005,0.0000,0.0001,0.1877,0.0002,200,7.0177
0.1908,0.0004,0.0000,0.0001,0.1899,0.0002,200,7.0176
0.1966,0.0007,0.0000,0.0001,0.1956,0.0002,200,7.0176
0.1978,0.0003,0.0000,0.0001,0.1974,0.0001,200,7.0180
0.3669,0.0001,0.0000,0.0000,0.3666,0.0002,200,7.0184
0.3740,0.0001,0.0000,0.0001,0.3737,0.0002,200,7.0183
0.1771,0.0008,0.0000,0.0001,0.1762,0.0001,200,8.0145
0.1774,0.0006,0.0000,0.0003,0.1763,0.0001,200,8.0142
0.1781,0.0007,0.0000,0.0001,0.1772,0.0001,200,8.0144
0.1803,0.0010,0.0000,0.0003,0.1788,0.0001,200,8.0139
0.3527,0.0002,0.0000,0.0005,0.3519,0.0001,200,8.0144
0.3562,0.0002,0.0000,0.0001,0.3559,0.0001,200,8.0149
0.5285,0.0006,0.0000,0.0001,0.5275,0.0003,200,8.0145
0.7034,0.0008,0.0000,0.0001,0.7024,0.0001,200,8.0149
0.6749,0.0046,0.0000,0.0001,0.6697,0.0003,200,9.3065
0.6792,0.0005,0.0000,0.0002,0.6784,0.0001,200,9.3051
0.6936,0.0010,0.0000,0.0002,0.6920,0.0003,200,9.3048
0.6981,0.0024,0.0000,0.0005,0.6949,0.0003,200,9.3033
0.7029,0.0011,0.0000,0.0007,0.6998,0.0012,200,9.3045
0.7197,0.0016,0.0000,0.0003,0.7176,0.0002,200,9.3042
0.8719,0.0014,0.0000,0.0007,0.8697,0.0001,200,9.3043
0.8807,0.0004,0.0000,0.0001,0.8800,0.0002,200,9.3052
0.1987,0.0006,0.0000,0.0004,0.1975,0.0002,200,10.0182
0.2011,0.0081,0.0000,0.0004,0.1923,0.0003,200,10.0158
0.3357,0.0010,0.0000,0.0003,0.3342,0.0002,200,10.0179
0.3584,0.0013,0.0000,0.0001,0.3565,0.0002,200,10.0239
0.3689,0.0002,0.0000,0.0001,0.3680,0.0003,200,10.0186
0.2185,0.0003,0.0000,0.0003,0.2174,0.0002,200,10.1860
0.5113,0.0004,0.0000,0.0002,0.5104,0.0002,200,10.0185
0.3823,0.0002,0.0000,0.0001,0.3818,0.0002,200,10.1762
0.1769,0.0002,0.0000,0.0001,0.1764,0.0001,200,11.0198
0.1918,0.0004,0.0000,0.0005,0.1907,0.0002,200,11.0196
0.1926,0.0007,0.0000,0.0005,0.1908,0.0002,200,11.0190
