response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1825,0.0004,0.0000,0.0001,0.1769,0.0050,200,1.0224
0.1828,0.0003,0.0000,0.0004,0.1768,0.0052,200,1.0222
0.3581,0.0004,0.0000,0.0003,0.3568,0.0005,200,1.0224
0.3585,0.0005,0.0000,-0.0000,0.3578,0.0002,200,1.0226
0.5343,0.0006,0.0000,0.0002,0.5329,0.0004,200,1.0222
0.7095,0.0003,0.0000,0.0001,0.7089,0.0002,200,1.0226
0.8851,0.0003,0.0000,0.0001,0.8846,0.0001,200,1.0227
1.0608,0.0007,0.0000,0.0001,1.0599,0.0001,200,1.0231
0.1777,0.0005,0.0000,0.0001,0.1765,0.0006,200,2.0259
0.2338,0.0001,0.0000,0.0001,0.2334,0.0001,200,2.0263
0.3534,0.0003,0.0000,0.0001,0.3525,0.0003,200,2.0261
0.4097,0.0002,0.0000,0.0001,0.4092,0.0002,200,2.0262
0.5279,0.0002,0.0000,0.0001,0.5273,0.0003,200,2.0263
0.5279,0.0004,0.0000,0.0002,0.5270,0.0003,200,2.0839
0.7034,0.0001,0.0000,0.0001,0.7028,0.0004,200,2.0263
0.8788,0.0001,0.0000,0.0001,0.8785,0.0001,200,2.0264
0.1790,0.0009,0.0000,0.0003,0.1776,0.0002,200,3.1174
0.1805,0.0017,0.0000,0.0003,0.1784,0.0001,200,3.1166
0.3553,0.0012,0.0000,0.0003,0.3535,0.0002,200,3.1172
0.3564,0.0015,0.0000,0.0003,0.3544,0.0002,200,3.1168
0.5316,0.0009,0.0000,0.0002,0.5300,0.0003,200,3.1172
0.5324,0.0012,0.0000,0.0002,0.5309,0.0001,200,3.1171
0.7087,0.0015,0.0000,0.0001,0.7064,0.0008,200,3.1171
0.8839,0.0005,0.0000,0.0002,0.8826,0.0005,200,3.1177
0.1777,0.0003,0.0000,0.0001,0.1771,0.0002,200,4.0225
0.1786,0.0007,0.0000,0.0003,0.1774,0.0001,200,4.0218
0.3544,0.0004,0.0000,0.0003,0.3536,0.0002,200,4.0221
0.3541,0.0006,0.0000,0.0001,0.3529,0.0005,200,4.0228
0.5310,0.0002,0.0000,0.0001,0.5305,0.0002,200,4.0222
0.7072,0.0002,0.0000,0.0001,0.7064,0.0002,200,4.0221
0.8827,0.0001,0.0000,0.0001,0.8823,0.0002,200,4.0224
1.0599,0.0009,0.0000,0.0000,1.0585,0.0004,200,4.0217
0.1815,0.0006,0.0000,0.0001,0.1801,0.0006,200,5.0221
0.2374,0.0008,0.0000,0.0005,0.2359,0.0002,200,5.0219
0.3557,0.0009,0.0000,0.0001,0.3545,0.0001,200,5.0224
0.4121,0.0001,0.0000,0.0004,0.4114,0.0001,200,5.0231
0.5305,0.0007,0.0000,0.0002,0.5292,0.0001,200,5.0226
0.5881,0.0004,0.0000,0.0001,0.5875,0.0002,200,5.0233
0.7065,0.0022,0.0000,0.0003,0.7031,0.0003,200,5.0218
0.7058,0.0006,0.0000,0.0001,0.7048,0.0002,200,5.0818
0.1771,0.0009,0.0000,0.0001,0.1759,0.0002,200,6.0220
0.1775,0.0007,0.0000,0.0002,0.1764,0.0001,200,6.0223
0.3520,0.0004,0.0000,0.0001,0.3513,0.0001,200,6.0223
0.3523,0.0008,0.0000,0.0001,0.3513,0.0001,200,6.0226
0.5285,0.0007,0.0000,0.0000,0.5276,0.0002,200,6.0227
0.5296,0.0001,0.0000,0.0007,0.5286,0.0001,200,6.0225
0.7040,0.0003,0.0000,0.0000,0.7034,0.0002,200,6.0230
0.8817,0.0019,0.0000,0.0001,0.8796,0.0002,200,6.0220
0.1761,0.0004,0.0000,0.0001,0.1753,0.0002,200,7.0301
